,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
2,10,80,0.000119955,0.000224726,2.23871E-06,0.01291495,0.011944338,0.011717374,0.000970612,0.001833847,0.00194722,1.36843E-05,0.009911102,-0.004978964,-0.006939868,0.014890066,0.002748038,0.002862194,1.95266E-05,0.009911102,-0.012403663,-0.015285384,0.022314765,D
3,10,100,6.48907E-05,0.000126622,1.24217E-06,0.006938084,0.006123357,0.005995492,0.000814727,0.001107843,0.001181129,8.27086E-06,0.005946541,-0.008012613,-0.009202013,0.013959154,0.001660522,0.001732834,1.18019E-05,0.005946541,-0.014973128,-0.016717764,0.020919668,D
4,10,10,0.004251071,0.006815519,9.31659E-05,0.469208358,0.468657375,0.46174869,0.000550983,0.07787506,0.102887946,0.001240017,0.452859639,0.442229026,0.338101063,0.010630614,0.111867963,0.145771576,0.001728599,0.44407962,0.428457094,0.280956919,0.015622526,D
5,20,20,9.70622E-05,0.00019045,2.07184E-06,0.02131726,0.021267195,0.021074673,5.0065E-05,0.001737932,0.002661938,2.00552E-05,0.01994163,0.01900535,0.016323356,0.000936281,0.002404829,0.003615746,2.60323E-05,0.019251873,0.017933253,0.014291474,0.00131862,D
6,20,50,6.7939E-05,0.00013557,1.46402E-06,0.014748378,0.014531894,0.01439486,0.000216485,0.000906556,0.001017263,7.72532E-06,0.009911319,0.0070029,0.005977911,0.002908419,0.001322438,0.001433592,1.03839E-05,0.009911319,0.005668464,0.004224488,0.004242855,D
7,20,80,6.45888E-05,0.00013064,1.41424E-06,0.013860256,0.013339428,0.013207374,0.000520828,0.000917062,0.001029461,7.8254E-06,0.009911102,0.002465712,0.001428426,0.00744539,0.001337761,0.00145063,1.0514E-05,0.009911102,-0.00095037,-0.002411514,0.010861472,D
8,20,100,3.67294E-05,7.72291E-05,8.17034E-07,0.007824291,0.007364894,0.007286848,0.000459397,0.000553876,0.000627949,4.73154E-06,0.005946541,-0.001033371,-0.001666052,0.006979911,0.00080805,0.000881785,6.35547E-06,0.005946541,-0.004235883,-0.005124024,0.010182424,D
9,20,10,0.002132434,0.003795195,5.443E-05,0.469800162,0.469524323,0.465674698,0.000275839,0.040633934,0.055804835,0.000695302,0.461554323,0.456136705,0.399636568,0.005417618,0.058114752,0.078018838,0.000954253,0.45757157,0.449736447,0.370763356,0.007835123,D
10,40,20,4.88296E-05,0.000106442,1.2781E-06,0.02136985,0.021344708,0.021236988,2.51423E-05,0.000920993,0.001462451,1.18663E-05,0.020693187,0.02020738,0.018733062,0.000485807,0.001539277,0.002378915,1.82799E-05,0.020132502,0.019307277,0.016910083,0.000825225,D
11,40,50,3.46398E-05,7.69296E-05,9.14322E-07,0.014983153,0.014872977,0.014795133,0.000110176,0.000538231,0.00086244,7.04397E-06,0.01196237,0.010207142,0.009337658,0.001755228,0.000791461,0.000902038,6.98957E-06,0.009911319,0.007372183,0.006463156,0.002539136,D
12,40,80,3.38243E-05,7.59453E-05,9.04196E-07,0.014461265,0.014189039,0.01411219,0.000272226,0.000459161,0.000558775,4.7396E-06,0.009911102,0.006188228,0.005624714,0.003722873,0.000800634,0.000912896,7.08134E-06,0.009911102,0.003411056,0.002491079,0.006500045,D
13,40,100,1.97664E-05,4.61818E-05,5.34485E-07,0.008387726,0.008141015,0.008094299,0.000246711,0.000277381,0.000342455,2.86818E-06,0.005946541,0.002456418,0.002111095,0.003490123,0.000483543,0.000557703,4.28218E-06,0.005946541,-0.000147128,-0.000709114,0.006093669,D
14,40,10,0.001070414,0.002155924,3.23871E-05,0.470140212,0.470001928,0.467813617,0.000138284,0.020829196,0.028919891,0.000363903,0.46562162,0.46288881,0.433605016,0.00273281,0.035678139,0.049398435,0.000619283,0.462650459,0.457909486,0.407891767,0.004740973,D
