,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
8,40,20,9.50272E-06,3.35975E-05,7.55043E-07,0.021369898,0.021346878,0.021312525,2.30206E-05,3.58984E-05,0.000130506,2.94207E-06,0.020693234,0.02046919,0.020335742,0.000224044,4.97986E-05,0.000146354,3.32444E-06,0.020132547,0.019815228,0.01966555,0.000317319,Enkoping
9,40,50,7.81601E-06,2.53325E-05,5.43797E-07,0.014983364,0.014882484,0.014856608,0.00010088,2.92967E-05,9.80806E-05,1.93263E-06,0.011962538,0.011153056,0.011053042,0.000809482,4.03849E-05,0.000110577,1.95455E-06,0.009911458,0,0,0.009911458,Enkoping
10,40,80,7.89519E-06,2.57211E-05,5.43677E-07,0.014461786,0.014212524,0.014186259,0.000249262,2.96086E-05,9.96141E-05,1.8194E-06,0.009911458,0,0,0.009911458,4.08311E-05,0.000112261,1.98943E-06,0.009911458,0,0,0.009911458,Enkoping
11,40,100,6.09919E-06,1.69197E-05,3.24551E-07,0.008388198,0.008162294,0.00814505,0.000225904,2.25765E-05,6.50732E-05,1.10454E-06,0.005946875,0,0,0.005946875,3.08017E-05,7.41598E-05,1.20775E-06,0.005946875,0,0,0.005946875,Enkoping
0,10,10,0.000569702,0.000569702,1.1731E-05,0.0865,0.085932907,0.085351474,0.000567093,0.00199932,0.00199932,4.0758E-05,0.0865,0.07939842,0.077358342,0.00710158,0.002048338,0.002048338,4.10699E-05,0.0865,0.075857305,0.073767897,0.010642695,Natural1
1,10,10,0.000152507,0.000722209,1.4848E-05,0.240907511,0.240781195,0.240044138,0.000126316,0.000578341,0.002577661,5.27179E-05,0.234373024,0.233139817,0.230509439,0.001233206,0.000577711,0.002626049,5.28978E-05,0.230831909,0.229011702,0.226332755,0.001820206,Natural2
2,10,10,0.000583366,0.000583366,1.20195E-05,0.0865,0.085932907,0.085337521,0.000567093,0.001538467,0.001538467,3.10289E-05,0.0865,0.07939842,0.077828923,0.00710158,0.001587486,0.001587486,3.13408E-05,0.0865,0.075857305,0.074238478,0.010642695,Natural3
3,10,10,0.000727339,0.000727339,1.49721E-05,0.228601738,0.22849487,0.22775256,0.000106867,0.002085606,0.002085606,4.23685E-05,0.222067251,0.221025484,0.218897509,0.001041767,0.002132739,0.002132739,4.25404E-05,0.218526136,0.2169898,0.214814521,0.001536335,Natural4
4,20,10,0.000425579,0.000425579,8.73713E-06,0.0865,0.086163701,0.085729385,0.000336299,0.001950167,0.001950167,4.04453E-05,0.0865,0.08294921,0.080958597,0.00355079,0.001972723,0.001972723,4.05888E-05,0.0865,0.081319802,0.079306491,0.005180198,Natural1
5,20,10,0.000115633,0.000541212,1.11003E-05,0.241138305,0.241065713,0.2405134,7.25919E-05,0.000482687,0.002432854,5.04667E-05,0.237923814,0.237235444,0.234752123,0.000688371,0.000578574,0.002551297,5.26196E-05,0.236294406,0.235387478,0.232783562,0.000906928,Natural2 
