Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
40,20,1.12E-06,3.94E-06,8.50E-08,0.021442594,0.021441922,0.021437895,6.73E-07,4.57E-06,1.62E-05,3.61E-07,0.021423184,0.021416504,0.021399938,6.68E-06,5.79E-06,2.03E-05,4.52E-07,0.021410902,0.021400545,0.021379832,1.04E-05,Enkoping
40,50,9.20E-07,2.97E-06,6.18E-08,0.015307899,0.015304898,0.015301863,3.00E-06,3.76E-06,1.22E-05,2.62E-07,0.015221246,0.015191581,0.0151791,2.97E-05,4.77E-06,1.53E-05,3.27E-07,0.015166415,0.015120562,0.015104951,4.59E-05,Enkoping
40,80,9.29E-07,3.02E-06,6.29E-08,0.015292596,0.01528492,0.015281841,7.68E-06,3.80E-06,1.24E-05,2.65E-07,0.015070765,0.014995574,0.014982903,7.52E-05,4.82E-06,1.55E-05,3.31E-07,0.014930396,0.014814842,0.014798994,0.000115555,Enkoping
40,100,7.19E-07,1.99E-06,3.81E-08,0.009167082,0.009159893,0.009157869,7.19E-06,2.94E-06,8.16E-06,1.60E-07,0.008959116,0.008889274,0.008880951,6.98E-05,3.72E-06,1.02E-05,1.99E-07,0.00882752,0.008720768,0.00871035,0.000106752,Enkoping
10,10,6.60E-05,6.60E-05,1.31E-06,0.0865,0.086483062,0.086415744,1.69E-05,8.77E-05,8.77E-05,1.75E-06,0.0865,0.086471416,0.086382012,2.86E-05,0.000102937,0.000102937,2.07E-06,0.0865,0.086461201,0.086356199,3.88E-05,Natural1
10,10,2.16E-05,8.76E-05,1.74E-06,0.282370962,0.282366683,0.282277358,4.28E-06,3.03E-05,0.000117936,2.36E-06,0.282359316,0.282352093,0.2822318,7.22E-06,3.57E-05,0.000138596,2.78E-06,0.282349101,0.282339097,0.282197726,1.00E-05,Natural2
10,10,6.67E-05,6.67E-05,1.33E-06,0.0865,0.086483062,0.086415068,1.69E-05,9.34E-05,9.34E-05,1.87E-06,0.0865,0.086471416,0.086376166,2.86E-05,0.000113593,0.000113593,2.29E-06,0.0865,0.086461201,0.086345317,3.88E-05,Natural3
10,10,8.93E-05,8.93E-05,1.77E-06,0.306193062,0.306188862,0.306097834,4.20E-06,0.000123983,0.000123983,2.48E-06,0.306181416,0.30617417,0.306047706,7.25E-06,0.000150632,0.000150632,3.03E-06,0.306171201,0.30616133,0.306007669,9.87E-06,Natural4
20,10,4.67E-05,4.67E-05,9.19E-07,0.0865,0.086490088,0.086442499,9.91E-06,0.000183928,0.000183928,3.73E-06,0.0865,0.086401368,0.086213715,9.86E-05,7.59E-05,7.59E-05,1.51E-06,0.0865,0.086477207,0.086399773,2.28E-05,Natural1
20,10,1.58E-05,6.24E-05,1.23E-06,0.282377988,0.282375498,0.282311829,2.49E-06,6.34E-05,0.000247372,5.01E-06,0.282289268,0.282264327,0.282011948,2.49E-05,2.62E-05,0.000102106,2.03E-06,0.282365107,0.282359444,0.282255308,5.66E-06,Natural2 
