Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
10,50,1.42545E-06,8.08209E-06,1.40947E-07,0.015289222,0.015284708,0.015276485,4.51426E-06,2.84392E-06,1.24674E-05,2.05834E-07,0.015269849,0.015260832,0.015248159,9.01709E-06,4.25881E-06,1.61796E-05,2.55022E-07,0.015251883,0.015238374,0.015221939,1.35097E-05,D
10,80,1.43807E-06,8.19088E-06,1.43121E-07,0.015244785,0.015233262,0.015224928,1.15229E-05,2.86336E-06,1.26203E-05,2.08709E-07,0.015195191,0.01517222,0.015159391,2.29709E-05,4.27996E-06,1.63567E-05,2.58208E-07,0.0151492,0.015114848,0.015098233,3.4352E-05,D
10,100,8.67184E-07,5.26012E-06,8.67091E-08,0.009122261,0.009111487,0.00910614,1.07737E-05,1.72343E-06,8.04592E-06,1.26281E-07,0.009075767,0.00905433,0.009046157,2.14375E-05,2.57158E-06,1.03766E-05,1.56026E-07,0.009032652,0.009000648,0.008990116,3.20035E-05,D
10,10,5.40157E-05,0.00024768,4.38534E-06,0.588554593,0.588547642,0.588295577,6.95102E-06,0.000107906,0.000380223,6.50031E-06,0.588524516,0.588510615,0.588123892,1.39013E-05,0.000161783,0.000490356,8.17024E-06,0.588497887,0.588477036,0.587978509,2.0851E-05,D
20,20,9.42666E-07,7.04167E-06,1.32967E-07,0.021441021,0.021440538,0.021433364,4.82334E-07,1.95738E-05,5.13681E-05,7.05203E-07,0.021407395,0.02139733,0.021345257,1.0065E-05,2.8195E-06,1.35205E-05,2.3536E-07,0.021436332,0.021434885,0.021421129,1.44669E-06,D
20,50,6.80736E-07,5.26062E-06,9.65858E-08,0.015300874,0.015298723,0.015293366,2.15129E-06,1.40172E-05,3.76021E-05,5.08656E-07,0.015150761,0.015106241,0.01506813,4.45208E-05,2.03368E-06,1.00459E-05,1.70801E-07,0.015279942,0.015273497,0.01526328,6.44503E-06,D
20,80,6.87593E-07,5.33525E-06,9.81667E-08,0.015274614,0.015269116,0.015263683,5.49784E-06,1.39382E-05,3.7705E-05,5.1069E-07,0.014890333,0.014778319,0.014740104,0.000112014,2.04972E-06,1.01762E-05,1.73325E-07,0.015221028,0.015204593,0.015194243,1.64357E-05,D
20,100,4.15098E-07,3.4492E-06,5.95221E-08,0.009150225,0.009145079,0.00914157,5.14605E-06,8.29076E-06,2.3466E-05,3.06213E-07,0.008789969,0.008686651,0.008662879,0.000103318,1.23491E-06,6.50988E-06,1.04948E-07,0.009099989,0.009084636,0.009078021,1.53534E-05,D
20,10,2.57755E-05,0.00015962,2.89919E-06,0.588572643,0.588569333,0.588406814,3.31011E-06,0.00053602,0.001188666,1.83969E-05,0.588342796,0.588273642,0.58706658,6.91543E-05,7.71111E-05,0.000307079,5.34251E-06,0.588539717,0.588529788,0.588217366,9.92977E-06,D
40,20,4.7325E-07,4.74571E-06,9.23122E-08,0.021442546,0.021442305,0.021437467,2.41184E-07,9.75391E-06,3.13195E-05,4.77028E-07,0.021423136,0.021418124,0.021386327,5.01209E-06,1.70505E-05,4.62358E-05,6.45551E-07,0.021410854,0.021402088,0.021355206,8.76612E-06,D
40,50,3.4189E-07,3.55375E-06,6.70746E-08,0.015307683,0.015306607,0.015302986,1.07612E-06,7.01238E-06,2.30848E-05,3.45233E-07,0.015221032,0.015198775,0.015175345,2.22566E-05,1.22208E-05,3.38935E-05,4.65954E-07,0.015166201,0.015127392,0.015093033,3.88088E-05,D
40,80,3.45582E-07,3.60523E-06,6.8206E-08,0.015292045,0.015289293,0.01528562,2.75206E-06,7.02461E-06,2.32845E-05,3.48685E-07,0.015070223,0.01501381,0.014990177,5.64125E-05,1.21717E-05,3.40301E-05,4.68405E-07,0.014929859,0.014832056,0.014797558,9.78024E-05,D
40,100,2.08767E-07,2.34154E-06,4.13738E-08,0.009166566,0.009163989,0.009161606,2.57762E-06,4.20792E-06,1.46747E-05,2.10225E-07,0.008958612,0.008906214,0.008891329,5.23982E-05,7.2514E-06,2.1235E-05,2.81186E-07,0.008827023,0.008736673,0.008715157,9.035E-05,D
40,10,1.29391E-05,0.000107686,1.98116E-06,0.588583083,0.588581428,0.588471761,1.65508E-06,0.000266918,0.000723853,1.18091E-05,0.588448891,0.588414473,0.58767881,3.44179E-05,0.000466844,0.001073924,1.67957E-05,0.588368017,0.588307794,0.587217075,6.0223E-05,D
